Step,Stock Price,Portfolio Value,Combined Delta,Gamma Position
0,100,3.4556,1,-1
1,103.456,1.84784,1,-1
2,101.848,1.23905,1,-1
3,101.239,3.44786,1,-1
4,103.448,3.75732,1,-1
5,103.757,2.77606,1,-1
6,102.776,2.77117,1,-1
7,102.771,3.20766,1,-1
8,103.208,4.8116,1,-1
9,104.812,5.76684,1,-1
10,105.767,7.52828,1,-1
11,107.528,5.84673,1,-1
12,105.847,2.99663,1,-1
13,102.997,6.0842,1,-1
14,106.084,4.70077,1,-1
15,104.701,1.86847,1,-1
16,101.868,3.29731,1,-1
17,103.297,0.868579,1,-1
18,100.869,0.470067,1,-1
19,100.47,0.779045,1,-1
20,100.779,-2.70214,1,-1
21,97.2979,-4.88337,1,-1
22,95.1166,-3.87174,1,-1
23,96.1283,-4.45757,1,-1
24,95.5424,0.116164,1,-1
25,100.116,-1.01193,1,-1
26,98.9881,0.187223,1,-1
27,100.187,0.886239,1,-1
28,100.886,2.58153,1,-1
29,102.582,2.87782,1,-1
30,102.878,3.78512,1,-1
31,103.785,8.61385,1,-1
32,108.614,11.9152,1,-1
33,111.915,10.9956,1,-1
34,110.996,11.0176,1,-1
35,111.018,9.96941,1,-1
36,109.969,15.2735,1,-1
37,115.274,13.187,1,-1
38,113.187,14.1007,1,-1
39,114.101,16.5248,1,-1
40,116.525,17.2627,1,-1
41,117.263,15.8121,1,-1
42,115.812,15.3365,1,-1
43,115.336,14.4896,1,-1
44,114.49,17.2845,1,-1
45,117.285,17.2899,1,-1
46,117.29,12.7405,1,-1
47,112.74,14.0923,1,-1
48,114.092,13.8794,1,-1
49,113.879,16.1259,1,-1
50,116.126,19.687,1,-1
51,119.687,23.3041,1,-1
52,123.304,23.5256,1,-1
53,123.526,24.8656,1,-1
54,124.866,26.0196,1,-1
55,126.02,26.973,1,-1
56,126.973,28.3761,1,-1
57,128.376,29.5298,1,-1
58,129.53,31.5114,1,-1
59,131.511,28.1436,1,-1
60,128.144,26.4977,1,-1
61,126.498,29.5204,1,-1
62,129.52,27.8559,1,-1
63,127.856,27.4483,1,-1
64,127.448,28.1215,1,-1
65,128.122,30.7205,1,-1
66,130.72,32.4093,1,-1
67,132.409,33.3626,1,-1
68,133.363,33.5593,1,-1
69,133.559,35.0614,1,-1
70,135.061,33.4771,1,-1
71,133.477,33.858,1,-1
72,133.858,33.4268,1,-1
73,133.427,36.9017,1,-1
74,136.902,37.7761,1,-1
75,137.776,39.2337,1,-1
76,139.234,38.1701,1,-1
77,138.17,39.783,1,-1
78,139.783,41.6385,1,-1
79,141.638,40.8867,1,-1
80,140.887,42.7801,1,-1
81,142.78,41.17,1,-1
82,141.17,46.6088,1,-1
83,146.609,40.57,1,-1
84,140.57,38.7457,1,-1
85,138.746,38.4657,1,-1
86,138.466,38.4773,1,-1
87,138.477,34.0499,1,-1
88,134.05,35.5344,1,-1
89,135.534,36.3135,1,-1
90,136.314,32.263,1,-1
91,132.263,29.7204,1,-1
92,129.72,31.7394,1,-1
93,131.739,29.248,1,-1
94,129.248,29.3359,1,-1
95,129.336,29.7525,1,-1
96,129.753,30.9633,1,-1
97,130.963,26.8426,1,-1
98,126.843,24.0311,1,-1
99,124.031,21.0613,1,-1
