Step,Stock Price,Portfolio Value,Delta
0,100,-1.36902,0.636831
1,97.8503,-0.26361,0.636831
2,99.5861,1.56881,0.636831
3,102.463,1.78536,0.636831
4,102.804,-0.295451,0.636831
5,99.5361,3.06665,0.636831
6,104.815,2.20745,0.636831
7,103.466,2.71946,0.636831
8,104.27,1.73223,0.636831
9,102.72,-1.99567,0.636831
10,96.8663,-1.83328,0.636831
11,97.1212,-5.10093,0.636831
12,91.9901,-4.49741,0.636831
13,92.9378,-3.91749,0.636831
14,93.8485,-3.51797,0.636831
15,94.4758,-4.91226,0.636831
16,92.2864,-4.75193,0.636831
17,92.5382,-6.54904,0.636831
18,89.7162,-4.81528,0.636831
19,92.4387,-5.84558,0.636831
20,90.8208,-6.0215,0.636831
21,90.5446,-5.63996,0.636831
22,91.1437,-5.48835,0.636831
23,91.3818,-3.50817,0.636831
24,94.4912,-3.10725,0.636831
25,95.1208,-0.822601,0.636831
26,98.7083,-2.74432,0.636831
27,95.6907,-2.1991,0.636831
28,96.5468,-1.22325,0.636831
29,98.0792,0.942268,0.636831
30,101.48,2.8799,0.636831
31,104.522,1.47118,0.636831
32,102.31,1.95189,0.636831
33,103.065,3.16875,0.636831
34,104.976,4.37894,0.636831
35,106.876,2.96211,0.636831
36,104.651,4.4475,0.636831
37,106.984,4.72518,0.636831
38,107.42,5.73214,0.636831
39,109.001,5.41453,0.636831
40,108.502,5.84705,0.636831
41,109.181,8.11194,0.636831
42,112.738,8.47257,0.636831
43,113.304,7.80428,0.636831
44,112.255,8.49202,0.636831
45,113.335,10.3708,0.636831
46,116.285,9.27107,0.636831
47,114.558,8.84356,0.636831
48,113.887,6.86096,0.636831
49,110.774,5.86908,0.636831
50,109.216,8.37644,0.636831
51,113.153,8.1912,0.636831
52,112.862,8.67055,0.636831
53,113.615,10.2736,0.636831
54,116.132,7.20311,0.636831
55,111.311,5.40147,0.636831
56,108.482,3.93341,0.636831
57,106.177,3.45901,0.636831
58,105.432,4.55952,0.636831
59,107.16,5.13159,0.636831
60,108.058,6.85202,0.636831
61,110.76,8.74943,0.636831
62,113.739,6.81177,0.636831
63,110.696,7.0223,0.636831
64,111.027,7.03117,0.636831
65,111.041,6.45065,0.636831
66,110.129,8.91649,0.636831
67,114.001,8.9142,0.636831
68,113.998,7.90479,0.636831
69,112.413,8.89983,0.636831
70,113.975,10.1832,0.636831
71,115.99,11.1222,0.636831
72,117.465,12.5334,0.636831
73,119.681,15.5051,0.636831
74,124.347,16.8613,0.636831
75,126.477,17.9667,0.636831
76,128.213,17.3558,0.636831
77,127.253,17.6135,0.636831
78,127.658,17.389,0.636831
79,127.305,18.4575,0.636831
80,128.983,20.1259,0.636831
81,131.603,20.1719,0.636831
82,131.675,23.2026,0.636831
83,136.434,21.1546,0.636831
84,133.219,19.9544,0.636831
85,131.334,20.4585,0.636831
86,132.125,21.0338,0.636831
87,133.029,21.3618,0.636831
88,133.544,17.6038,0.636831
89,127.643,16.5249,0.636831
90,125.949,16.8052,0.636831
91,126.389,19.7604,0.636831
92,131.029,20.5295,0.636831
93,132.237,20.1273,0.636831
94,131.605,21.5571,0.636831
95,133.851,21.8534,0.636831
96,134.316,18.063,0.636831
97,128.364,16.028,0.636831
98,125.168,18.5192,0.636831
99,129.08,16.6724,0.636831
